GCF_ID	Specimen	BGC_Count	MIBiG	Source	Representative_BGC	GCF_Type	Mean_Length	Mean_Gene_Count
GCF_00002773	Skin_head	1		HMP	HMBGC00000278	NRPS	5885.0	2.0
GCF_00002774	Skin_head	3		HMP	HMBGC00000279	NRPS	2792.0	1.0
GCF_00002775	Skin_head	1		HMP	HMBGC00000280	NRPS	1797.0	2.0
GCF_00002776	Skin_head	1		HMP	HMBGC00000281	NRPS	1653.0	1.0
GCF_00002777	Skin_head	1		HMP	HMBGC00000282	NRPS	1986.0	1.0
GCF_00002778	Skin_head	1		HMP	HMBGC00000283	NRPS	10111.0	3.0
GCF_00002779	Urogenital_vagina,Skin_head	2		HMP	HMBGC00000284	NRPS	2681.5	1.5
GCF_00002781	Skin_head	1		HMP	HMBGC00000286	NRPS	4875.0	2.0
GCF_00002793	Skin_head	12		HMP	HMBGC00000298	NRPS	34548.3	26.1
GCF_00002795	Skin_head	2		HMP	HMBGC00000300	NRPS	4442.0	1.0
GCF_00002799	Skin_head,Respiratory_upper	5		HMP	HMBGC00000304	NRPS	2838.8	1.0
GCF_00002806	Skin_head,Respiratory_upper	8		HMP	HMBGC00000311	NRPS	4487.6	3.1
GCF_00002807	Skin_head	1		HMP	HMBGC00000312	NRPS	2868.0	1.0
GCF_00002810	Skin_head	3		HMP	HMBGC00000315	NRPS	2041.7	1.7
GCF_00002811	Skin_head	1		HMP	HMBGC00000316	NRPS	2771.0	1.0
GCF_00002812	Respiratory_upper	1		HMP	HMBGC00000317	NRPS	1308.0	1.0
GCF_00002813	Skin_head,Respiratory_upper	6		HMP	HMBGC00000318	NRPS	21674.2	5.5
GCF_00002814	Skin_head	1		HMP	HMBGC00000319	NRPS	3704.0	2.0
GCF_00002815	Respiratory_upper	1		HMP	HMBGC00000320	NRPS	3950.0	2.0
GCF_00002816	Respiratory_upper	1		HMP	HMBGC00000321	NRPS	1996.0	3.0
GCF_00002817	Respiratory_upper	2		HMP	HMBGC00000322	NRPS	11306.0	8.0
GCF_00002822	Oral_unclassified	1		JGI	HMBGC00000327	NRPS	5012.0	3.0
GCF_00002823	Respiratory_upper,Oral_unclassified	3		HMP,JGI,EBI	HMBGC00000328	NRPS	24572.7	22.0
GCF_00002824	Respiratory_upper,Oral_cavity	3		HMP,EBI	HMBGC00000329	NRPS	5446.0	3.7
GCF_00002827	Urogenital_vagina	1		HMP	HMBGC00000332	NRPS	1053.0	1.0
GCF_00002828	Urogenital_vagina	1		HMP	HMBGC00000333	NRPS	1737.0	1.0
GCF_00002829	Respiratory_upper	1		HMP	HMBGC00000334	NRPS	1105.0	1.0
GCF_00002830	Urogenital_vagina	1		HMP	HMBGC00000335	NRPS	32289.0	17.0
GCF_00002831	Urogenital_vagina,Gut_unclassified	4		HMP,EBI	HMBGC00000336	NRPS	25566.5	22.8
GCF_00002835	Urogenital_vagina	1		HMP	HMBGC00000340	NRPS	2431.0	1.0
GCF_00002836	Respiratory_upper	1		HMP	HMBGC00000341	NRPS	32240.0	27.0
GCF_00002838	Respiratory_upper	1		HMP	HMBGC00000343	NRPS	14093.0	10.0
GCF_00002843	Skin_unclassified	2		JGI	HMBGC00000348	NRPS	33747.0	29.0
GCF_00002846	Skin_unclassified	1		JGI	HMBGC00000351	NRPS	7961.0	4.0
GCF_00002849	Gut_unclassified	1		EBI	HMBGC00000354	NRPS	33888.0	29.0
GCF_00002850	Gut_unclassified,Urogenital_unclassified,Urogenital_urinary_tract,Urogenital_vagina,Skin_unclassified	20		EBI,NCBI_PRJNA28331	HMBGC00000355	NRPS	32050.1	26.6
GCF_00002853	Respiratory_upper	3		HMP	HMBGC00000358	NRPS	3015.0	1.0
GCF_00002855	Respiratory_upper,Skin_arm	3		HMP	HMBGC00000360	NRPS	1606.3	1.0
GCF_00002857	Respiratory_upper	1		HMP	HMBGC00000362	NRPS	1245.0	1.0
GCF_00002858	Respiratory_upper	1		HMP	HMBGC00000363	NRPS	2888.0	2.0
GCF_00002859	Respiratory_upper	1		HMP	HMBGC00000364	NRPS	10604.0	5.0
GCF_00002860	Respiratory_upper	1		HMP	HMBGC00000365	NRPS	1695.0	1.0
GCF_00002861	Respiratory_upper	1		HMP	HMBGC00000366	NRPS	3617.0	2.0
GCF_00002862	Respiratory_upper	1		HMP	HMBGC00000367	NRPS	31025.0	17.0
GCF_00002872	Skin_head	1		HMP	HMBGC00000377	NRPS	6418.0	3.0
GCF_00002876	Respiratory_upper,Skin_head	6		HMP	HMBGC00000381	NRPS	2207.7	1.0
GCF_00002877	Skin_head	1		HMP	HMBGC00000382	NRPS	1238.0	1.0
GCF_00002878	Skin_unclassified	1		JGI	HMBGC00000383	NRPS	4191.0	1.0
GCF_00002880	Respiratory_upper	2		HMP	HMBGC00000384	NRPS	1864.0	1.0
GCF_00002881	Respiratory_upper	1		HMP	HMBGC00000386	NRPS	5538.0	4.0
GCF_00002883	Gut_unclassified	2		EBI	HMBGC00000388	Others	73675.0	67.5
GCF_00002884	Respiratory_upper,Gut_unclassified	3		HMP,EBI	HMBGC00000389	NRPS	61023.7	55.3
GCF_00002885	Urogenital_vagina	1		HMP	HMBGC00000390	NRPS	2178.0	1.0
GCF_00002886	Respiratory_upper	1		HMP	HMBGC00000391	NRPS	2627.0	2.0
GCF_00002887	Respiratory_upper	1		HMP	HMBGC00000392	NRPS	5134.0	1.0
GCF_00002888	Respiratory_upper	1		HMP	HMBGC00000393	NRPS	1439.0	2.0
GCF_00002889	Respiratory_upper	1		HMP	HMBGC00000394	NRPS	1050.0	1.0
GCF_00002890	Respiratory_upper	1		HMP	HMBGC00000395	NRPS	1699.0	1.0
GCF_00002891	Respiratory_upper	1		HMP	HMBGC00000396	NRPS	3780.0	1.0
GCF_00002892	Respiratory_upper	1		HMP	HMBGC00000397	NRPS	8007.0	5.0
GCF_00002893	Skin_head	1		HMP	HMBGC00000398	NRPS	2480.0	2.0
GCF_00002894	Skin_head	2		HMP	HMBGC00000399	NRPS	2035.5	1.0
GCF_00002896	Skin_head	1		HMP	HMBGC00000401	NRPS	1607.0	1.0
GCF_00002905	Urogenital_vagina,Urogenital_unclassified,Gut_unclassified	9		HMP,JGI,EBI	HMBGC00000410	NRPS	37017.8	35.8
GCF_00002906	Skin_unclassified	1		JGI	HMBGC00000411	NRPS,Others	29746.0	35.0
GCF_00002929	Urogenital_vagina,Urogenital_unclassified	7		HMP,JGI,NCBI_PRJNA28331	HMBGC00000434	NRPS	25967.0	24.9
GCF_00002930	Urogenital_vagina,Urogenital_unclassified	24		HMP,JGI,NCBI_PRJNA28331	HMBGC00000435	NRPS	29845.1	29.7
GCF_00002935	Urogenital_vagina,Urogenital_unclassified	4		HMP,JGI	HMBGC00000440	NRPS	41378.5	36.2
GCF_00002939	Skin_unclassified	6		JGI	HMBGC00000444	NRPS	7644.3	4.3
GCF_00002940	Skin_unclassified	1		JGI	HMBGC00000445	NRPS	3316.0	1.0
GCF_00002941	Skin_unclassified	1		JGI	HMBGC00000446	NRPS	3024.0	2.0
GCF_00002942	Oral_unclassified	1		JGI	HMBGC00000447	PKS-NRP_Hybrids,PKSother	25871.0	13.0
GCF_00002943	Oral_unclassified	3		JGI,EBI	HMBGC00000448	NRPS,PKSother	25634.8	15.0
GCF_00002944	Oral_unclassified	2		JGI,EBI	HMBGC00000448,HMBGC00000449	PKS-NRP_Hybrids,PKSother	37422.0	28.3
GCF_00002945	Oral_unclassified	1		JGI	HMBGC00000450	NRPS	11254.0	10.0
GCF_00002946	Oral_unclassified	1		JGI	HMBGC00000451	NRPS	6896.0	6.0
GCF_00002948	Oral_unclassified	1		JGI	HMBGC00000453	PKSother,PKS-NRP_Hybrids	10183.0	4.0
GCF_00002950	Oral_unclassified,Oral_saliva	4		JGI,EBI	HMBGC00000455	NRPS,PKSother,PKS-NRP_Hybrids	17109.8	9.3
GCF_00002951	Oral_unclassified	1		JGI	HMBGC00000456	NRPS	16741.0	11.0
GCF_00002952	Oral_unclassified	1		JGI	HMBGC00000457	NRPS	15170.0	3.0
GCF_00002964	Oral_unclassified,Oral_plaque	10		JGI,EBI,NCBI_PRJNA28331	HMBGC00000469	NRPS,Others	37062.7	32.8
GCF_00002965	Urogenital_vagina,Oral_unclassified	2		HMP,JGI	HMBGC00000470	PKS-NRP_Hybrids,NRPS,PKSother	19643.5	10.0
GCF_00002967	Oral_unclassified	1		JGI	HMBGC00000472	NRPS	7651.0	5.0
GCF_00002968	Oral_unclassified	1		JGI	HMBGC00000473	NRPS	4575.0	2.0
GCF_00002969	Skin_unclassified	1		JGI	HMBGC00000474	NRPS	20604.0	19.0
GCF_00002993	Skin_head,Respiratory_upper,Urogenital_vagina,Respiratory_unclassified,Skin_unclassified,Gut_small_intestine	36		HMP,JGI,NCBI_PRJNA28331	HMBGC00000498	NRPS	27141.8	28.2
GCF_00003017	Skin_head,Respiratory_upper,Skin_unclassified,Respiratory_unclassified,Gut_unclassified,Oral_saliva,Oral_unclassified,Urogenital_vagina	48		HMP,JGI,EBI,NCBI_PRJNA28331	HMBGC00000522	NRPS	29785.7	31.6
GCF_00003018	Skin_unclassified	1		JGI	HMBGC00000523	NRPS	10379.0	8.0
GCF_00003021	Skin_unclassified	4		JGI	HMBGC00000526	NRPS	18379.2	14.5
GCF_00003023	Skin_unclassified,Urogenital_urinary_tract	4		JGI,NCBI_PRJNA28331	HMBGC00000528	NRPS	32706.2	29.5
GCF_00003025	Skin_unclassified	1		JGI	HMBGC00000530	NRPS	20651.0	21.0
GCF_00003026	Skin_unclassified	1		JGI	HMBGC00000531	NRPS,Others	47840.0	49.0
GCF_00003027	Skin_unclassified	1		JGI	HMBGC00000532	Others,NRPS	18487.0	10.0
GCF_00003028	Skin_unclassified	2		JGI	HMBGC00000533	NRPS	3269.0	2.5
GCF_00003030	Skin_unclassified	2		JGI	HMBGC00000535	NRPS	3335.0	2.0
GCF_00003032	Skin_unclassified	2		JGI	HMBGC00000537	NRPS	3177.5	1.0
GCF_00003034	Skin_unclassified	1		JGI	HMBGC00000539	NRPS	3106.0	1.0
GCF_00003035	Skin_unclassified	1		JGI	HMBGC00000540	NRPS	3027.0	1.0
GCF_00003037	Skin_unclassified	1		JGI	HMBGC00000542	NRPS	18307.0	15.0
GCF_00003039	Skin_unclassified,Oral_cavity	3		JGI,NCBI_PRJNA28331	HMBGC00000544	Others,NRPS	37479.0	34.3
GCF_00003040	Skin_unclassified	1		JGI	HMBGC00000545	Others,NRPS	11705.0	9.0
GCF_00003041	Skin_unclassified	1		JGI	HMBGC00000546	NRPS	8331.0	4.0
GCF_00003042	Skin_unclassified	1		JGI	HMBGC00000547	NRPS	3405.0	1.0
GCF_00003043	Skin_unclassified	1		JGI	HMBGC00000548	NRPS	3230.0	1.0
GCF_00003044	Skin_unclassified	1		JGI	HMBGC00000549	NRPS	3128.0	1.0
GCF_00003045	Skin_unclassified	1		JGI	HMBGC00000550	NRPS	3124.0	2.0
GCF_00003046	Skin_unclassified	3		JGI	HMBGC00000551	NRPS	11674.0	8.7
