isolation_source	Body_site	Specimen	Status
pleural fluid r	Respiratory	Respiratory_lower	Healthy
wound sinus	Respiratory	Respiratory_upper	Disease
bronch wash cf	Respiratory	Respiratory_lower	Healthy
tisssue tibia	Bone	Bone_leg	Disease
bone r great toe	Bone	Bone_leg	Disease
wound l leg	Skin	Skin_leg	Disease
tissues great toe	Skin	Skin_leg	Healthy
tissue humerus	Bone	Bone_leg	Disease
abscess peri-rectal	Gut	Gut_colon	Disease
blood l hand	Blood	Blood	Disease
abscess r breast	Skin	Skin_torso	Disease
sinus	Respiratory	Respiratory_upper	Healthy
aspirate chest	Respiratory	Respiratory_lower	Healthy
blood central line	Blood	Blood	Disease
wound l knee	Skin	Skin_leg	Disease
genital vulva	Urogenital	Urogenital_vagina	Healthy
tisssue r	Unclassified	Unclassified	Unclassified
fluid l knee	Joint	Joint_leg	Healthy
wound/ left index finger	Skin	Skin_arm	Disease
wound	Unclassified	Unclassified	Disease
abscess axilla	Skin	Skin_arm	Disease
bone left fourth toe	Bone	Bone_leg	Disease
joint fluid	Joint	Joint_unclassified	Healthy
bone	Bone	Bone_unclassified	Disease
abscess	Unclassified	Unclassified	Disease
wound r foot	Skin	Skin_leg	Disease
abscess misc	Unclassified	Unclassified	Disease
wound knee	Skin	Skin_leg	Disease
tissue left hip	Skin	Skin_leg	Healthy
Genital (Female)	Urogenital	Urogenital_unclassified	Healthy
eye	Eye	Eye	Healthy
wound from right breast	Skin	Skin_torso	Disease
GI tract	Gut	Gut_unclassified	Healthy
