genome_id	metagenome_id	genome_length	num_contigs	n50	num_16s	num_5s	num_23s	num_trna	completeness	contamination	quality_score	mimag_quality	otu_id	ecosystem	ecosystem_category	ecosystem_type	habitat	longitude	latitude
3300029412_18	3300029412	2299303	48	69564	1.0	2.0	0.0	52.0	99.4	0.0	99.4	MQ	OTU-11350	d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Acidaminococcus;s__Acidaminococcus intestini	Human	Digestive system	Human feces	-76.6259	39.2885
3300029373_22	3300029373	1863707	26	98548	0.0	3.0	1.0	41.0	97.99	0.0	97.99	MQ	OTU-9258	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__DTU089;g__Eubacterium_R;s__Eubacterium_R sp2	Human	Digestive system	Human feces	-76.6259	39.2885
3300029373_23	3300029373	1836486	320	5766	0.0	3.0	1.0	23.0	75.61	3.52	58.01	MQ	OTU-10305	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__Romboutsia;s__Romboutsia timonensis	Human	Digestive system	Human feces	-76.6259	39.2885
3300029373_20	3300029373	2085922	406	5172	1.0	2.0	2.0	24.0	60.6	0.13	59.95	MQ	OTU-16537	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides distasonis	Human	Digestive system	Human feces	-76.6259	39.2885
3300029373_25	3300029373	1630177	16	144550	2.0	2.0	1.0	37.0	74.49	0.0	74.49	MQ	OTU-14344	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__GCA_000434595.1	Human	Digestive system	Human feces	-76.6259	39.2885
3300029373_16	3300029373	2417837	34	124195	2.0	5.0	2.0	59.0	100.0	0.0	100.0	HQ	OTU-7477	d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Veillonellales;f__Megasphaeraceae;g__Megasphaera;s__GCF_001546855.1	Human	Digestive system	Human feces	-76.6259	39.2885
3300029373_18	3300029373	2204186	49	69557	0.0	2.0	0.0	46.0	97.6	0.0	97.6	MQ	OTU-11350	d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Acidaminococcus;s__Acidaminococcus intestini	Human	Digestive system	Human feces	-76.6259	39.2885
3300029373_14	3300029373	2632168	19	169985	3.0	0.0	3.0	34.0	95.97	0.0	95.97	MQ	OTU-8646	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospira;s__GCA_000437735.1	Human	Digestive system	Human feces	-76.6259	39.2885
3300029373_10	3300029373	3233235	24	266185	2.0	2.0	2.0	54.0	99.33	0.0	99.33	HQ	OTU-3007	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__DTU089;g__Clostridium_A;s__Clostridium_A leptum	Human	Digestive system	Human feces	-76.6259	39.2885
3300029373_19	3300029373	2116392	47	66933	1.0	4.0	1.0	59.0	100.0	0.0	100.0	HQ	OTU-3807	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Slackia_A;s__	Human	Digestive system	Human feces	-76.6259	39.2885
3300029373_12	3300029373	2801006	139	30869	0.0	2.0	0.0	36.0	97.65	2.35	85.9	MQ	OTU-2435	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__CAG-41;f__UBA1381;g__CAG-41;s__CAG-41 sp1	Human	Digestive system	Human feces	-76.6259	39.2885
3300029373_11	3300029373	3146785	237	19805	2.0	3.0	1.0	58.0	99.37	2.78	85.47	HQ	OTU-3617	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Betaproteobacteriales;f__Burkholderiaceae;g__Parasutterella;s__Parasutterella excrementihominis	Human	Digestive system	Human feces	-76.6259	39.2885
3300029419_18	3300029419	2226061	48	68563	1.0	3.0	1.0	48.0	98.2	0.0	98.2	HQ	OTU-11350	d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Acidaminococcus;s__Acidaminococcus intestini	Human	Digestive system	Human feces	-76.6259	39.2885
3300029419_19	3300029419	2055329	36	89375	0.0	4.0	0.0	59.0	96.77	0.0	96.77	MQ	OTU-3807	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Slackia_A;s__	Human	Digestive system	Human feces	-76.6259	39.2885
3300029419_16	3300029419	2358129	34	100557	3.0	5.0	1.0	60.0	99.4	0.0	99.4	HQ	OTU-7477	d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Veillonellales;f__Megasphaeraceae;g__Megasphaera;s__GCF_001546855.1	Human	Digestive system	Human feces	-76.6259	39.2885
3300029419_14	3300029419	2669099	21	167701	2.0	0.0	4.0	36.0	97.99	0.0	97.99	MQ	OTU-8646	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospira;s__GCA_000437735.1	Human	Digestive system	Human feces	-76.6259	39.2885
3300029419_13	3300029419	2675520	94	51827	2.0	4.0	2.0	51.0	97.99	1.68	89.59	HQ	OTU-2435	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__CAG-41;f__UBA1381;g__CAG-41;s__CAG-41 sp1	Human	Digestive system	Human feces	-76.6259	39.2885
3300029419_10	3300029419	3231698	286	16328	2.0	3.0	1.0	57.0	98.73	4.43	76.58	HQ	OTU-3617	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Betaproteobacteriales;f__Burkholderiaceae;g__Parasutterella;s__Parasutterella excrementihominis	Human	Digestive system	Human feces	-76.6259	39.2885
3300029419_11	3300029419	3130703	36	186535	1.0	3.0	1.0	55.0	99.33	0.0	99.33	HQ	OTU-3007	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__DTU089;g__Clostridium_A;s__Clostridium_A leptum	Human	Digestive system	Human feces	-76.6259	39.2885
3300029419_21	3300029419	2003601	10	357509	1.0	3.0	1.0	44.0	97.32	0.0	97.32	HQ	OTU-9258	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__DTU089;g__Eubacterium_R;s__Eubacterium_R sp2	Human	Digestive system	Human feces	-76.6259	39.2885
3300029419_22	3300029419	1669172	172	12328	1.0	1.0	1.0	34.0	79.8	4.03	59.65	MQ	OTU-12364	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella bouchesdurhonensis	Human	Digestive system	Human feces	-76.6259	39.2885
3300029419_25	3300029419	1473275	215	7792	0.0	1.0	0.0	33.0	60.05	0.67	56.7	MQ	OTU-5831	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae;g__Agathobaculum;s__Agathobaculum sp1	Human	Digestive system	Human feces	-76.6259	39.2885
3300029379_39	3300029379	1324870	207	6898	1.0	2.0	1.0	29.0	74.25	0.29	72.8	MQ	OTU-10259	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Christensenellales;f__CAG-138;g__UBA5394;s__	Human	Digestive system	Human feces	-76.6259	39.2885
3300029379_32	3300029379	1715837	237	8582	0.0	1.0	0.0	32.0	82.43	0.67	79.08	MQ	OTU-12522	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__DTU089;g__CAG-177;s__CAG-177 sp1	Human	Digestive system	Human feces	-76.6259	39.2885
3300029379_31	3300029379	1666736	208	9965	1.0	2.0	1.0	42.0	73.67	1.08	68.27	MQ	OTU-15479	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__UBA1382;s__	Human	Digestive system	Human feces	-76.6259	39.2885
3300029379_37	3300029379	1471862	206	8104	0.0	0.0	0.0	35.0	70.9	1.34	64.2	MQ	OTU-5974	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Christensenellales;f__CAG-138;g__PeH17;s__PeH17 sp1	Human	Digestive system	Human feces	-76.6259	39.2885
3300029379_35	3300029379	1548040	196	9969	1.0	3.0	1.0	22.0	64.71	0.67	61.36	MQ	OTU-16633	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__DTU089;g__UBA1417;s__UBA1417 sp1	Human	Digestive system	Human feces	-76.6259	39.2885
3300029379_19	3300029379	2190913	208	12901	0.0	2.0	0.0	51.0	96.7	0.47	94.35	MQ	OTU-17214	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__Catenibacterium;s__Catenibacterium mitsuokai	Human	Digestive system	Human feces	-76.6259	39.2885
3300029379_18	3300029379	2300764	144	22655	3.0	3.0	1.0	51.0	95.25	3.02	80.15	HQ	OTU-14262	d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Veillonellales;f__Dialisteraceae;g__Dialister;s__Dialister sp1	Human	Digestive system	Human feces	-76.6259	39.2885
3300029379_15	3300029379	2511847	47	94311	2.0	0.0	4.0	40.0	85.93	0.0	85.93	MQ	OTU-6831	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter rectalis	Human	Digestive system	Human feces	-76.6259	39.2885
3300029379_11	3300029379	2770902	39	125838	1.0	1.0	0.0	46.0	98.63	0.0	98.63	MQ	OTU-8294	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminococcus_D;s__Ruminococcus_D bicirculans	Human	Digestive system	Human feces	-76.6259	39.2885
3300029379_12	3300029379	2696324	93	34543	1.0	1.0	2.0	42.0	93.58	1.35	86.83	MQ	OTU-2570	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__GCA_000436915.1	Human	Digestive system	Human feces	-76.6259	39.2885
3300029379_33	3300029379	1713383	48	77838	1.0	5.0	0.0	40.0	96.9	4.72	73.3	MQ	OTU-6411	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__CAG-536;s__GCA_000434355.1	Human	Digestive system	Human feces	-76.6259	39.2885
3300029379_30	3300029379	1817659	192	11253	0.0	1.0	0.0	20.0	68.25	0.74	64.55	MQ	OTU-14319	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__GCF_002251385.1	Human	Digestive system	Human feces	-76.6259	39.2885
3300029379_36	3300029379	1532698	205	8191	3.0	1.0	0.0	44.0	71.48	0.3	69.98	MQ	OTU-2558	d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Acidaminococcus;s__Acidaminococcus fermentans	Human	Digestive system	Human feces	-76.6259	39.2885
3300029379_17	3300029379	2431441	141	27506	2.0	4.0	1.0	50.0	94.61	2.11	84.06	MQ	OTU-14746	d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Selenomonadales;f__Selenomonadaceae;g__Mitsuokella;s__Mitsuokella jalaludinii	Human	Digestive system	Human feces	-76.6259	39.2885
3300029379_10	3300029379	2937759	91	45235	2.0	2.0	1.0	52.0	94.4	1.06	89.1	HQ	OTU-8634	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__GCA_002299705.1	Human	Digestive system	Human feces	-76.6259	39.2885
3300029379_13	3300029379	2663120	46	140432	1.0	3.0	1.0	46.0	99.33	0.0	99.33	HQ	OTU-16218	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminococcus;s__	Human	Digestive system	Human feces	-76.6259	39.2885
3300029379_14	3300029379	2648311	16	303368	1.0	0.0	3.0	42.0	96.64	0.0	96.64	MQ	OTU-7970	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-127;s__CAG-127 sp2	Human	Digestive system	Human feces	-76.6259	39.2885
3300029379_24	3300029379	2092306	12	321354	2.0	3.0	2.0	50.0	97.32	0.0	97.32	HQ	OTU-9493	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__DTU089;g__CAG-217;s__CAG-217 sp1	Human	Digestive system	Human feces	-76.6259	39.2885
3300029379_25	3300029379	2053819	43	67766	1.0	3.0	0.0	40.0	67.24	0.0	67.24	MQ	OTU-2564	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotellamassilia;s__Prevotellamassilia timonensis	Human	Digestive system	Human feces	-76.6259	39.2885
3300029379_26	3300029379	1963212	88	41011	1.0	1.0	0.0	53.0	91.95	0.3	90.45	MQ	OTU-4600	d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Veillonellales;f__Megasphaeraceae;g__Megasphaera;s__Megasphaera sp2	Human	Digestive system	Human feces	-76.6259	39.2885
3300029379_20	3300029379	2117148	221	11554	2.0	2.0	0.0	50.0	87.37	1.78	78.47	MQ	OTU-14741	d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio;s__	Human	Digestive system	Human feces	-76.6259	39.2885
3300029379_21	3300029379	2140364	78	48579	2.0	2.0	2.0	44.0	85.23	0.22	84.13	MQ	OTU-10726	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminococcus_C;s__Ruminococcus_C callidus	Human	Digestive system	Human feces	-76.6259	39.2885
3300029379_23	3300029379	2119250	16	390465	1.0	3.0	1.0	47.0	99.33	0.67	95.98	HQ	OTU-10265	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__DTU089;g__Ruminococcus_E;s__Ruminococcus_E bromii	Human	Digestive system	Human feces	-76.6259	39.2885
3300029379_28	3300029379	1926234	162	15330	2.0	4.0	1.0	52.0	93.01	2.58	80.11	HQ	OTU-15885	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__	Human	Digestive system	Human feces	-76.6259	39.2885
3300029379_29	3300029379	1834424	79	36582	1.0	2.0	1.0	50.0	98.39	1.88	88.99	HQ	OTU-1617	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__CAG-1427;s__GCA_000436075.1	Human	Digestive system	Human feces	-76.6259	39.2885
3300029379_16	3300029379	2505613	65	58610	0.0	3.0	1.0	38.0	92.69	0.0	92.69	MQ	OTU-8068	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__UBA10664	Human	Digestive system	Human feces	-76.6259	39.2885
3300008326_17	3300008326	1617340	117	19784	0.0	0.0	0.0	27.0	76.13	3.49	58.68	MQ	OTU-6928	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes putredinis	Human	Digestive system	Human		
3300008326_14	3300008326	1907379	72	39199	0.0	0.0	0.0	36.0	85.09	1.13	79.44	MQ	OTU-2911	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-1031;s__GCA_000431155.1	Human	Digestive system	Human		
3300008326_15	3300008326	1848246	154	15031	1.0	0.0	0.0	42.0	94.34	3.59	76.39	MQ	OTU-10586	d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Succiniclasticum;s__	Human	Digestive system	Human		
3300008326_13	3300008326	1924084	122	22767	0.0	0.0	0.0	34.0	94.78	1.66	86.48	MQ	OTU-3617	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Betaproteobacteriales;f__Burkholderiaceae;g__Parasutterella;s__Parasutterella excrementihominis	Human	Digestive system	Human		
3300008326_11	3300008326	2045269	132	19687	0.0	0.0	0.0	20.0	69.19	0.13	68.54	MQ	OTU-4400	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Barnesiellaceae;g__Barnesiella;s__	Human	Digestive system	Human		
3300008326_4	3300008326	3436200	122	38837	0.0	0.0	0.0	54.0	91.07	0.08	90.67	MQ	OTU-7748	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides merdae	Human	Digestive system	Human		
3300008326_9	3300008326	2133331	122	22941	1.0	1.0	1.0	34.0	76.67	0.75	72.92	MQ	OTU-434	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-1031;s__	Human	Digestive system	Human		
3300008326_2	3300008326	4167073	110	63574	0.0	2.0	1.0	42.0	79.04	3.72	60.44	MQ	OTU-16801	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides_B;s__	Human	Digestive system	Human		
3300008326_3	3300008326	3760150	97	56656	0.0	1.0	0.0	49.0	80.07	0.97	75.22	MQ	OTU-16537	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides distasonis	Human	Digestive system	Human		
3300008326_21	3300008326	1394226	231	6436	0.0	2.0	0.0	7.0	62.19	0.94	57.49	MQ	OTU-2115	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__CAG-115;s__GCA_000436675.1	Human	Digestive system	Human		
3300008326_20	3300008326	1545762	103	19344	0.0	0.0	0.0	30.0	60.85	0.0	60.85	MQ	OTU-16095	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__CAG-353;s__GCA_900066885.1	Human	Digestive system	Human		
3300029643_12	3300029643	2097870	57	108354	2.0	2.0	1.0	40.0	69.55	3.37	52.7	MQ	OTU-6928	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes putredinis	Human	Digestive system	Human fecal	-0.12	51.5
3300029643_11	3300029643	2151221	18	223740	4.0	1.0	1.0	43.0	99.4	0.0	99.4	HQ	OTU-16056	d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Veillonella_A;s__Veillonella_A seminalis	Human	Digestive system	Human fecal	-0.12	51.5
3300029643_10	3300029643	2210109	243	11057	1.0	0.0	1.0	31.0	77.56	3.02	62.46	MQ	OTU-8646	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospira;s__GCA_000437735.1	Human	Digestive system	Human fecal	-0.12	51.5
3300029643_5	3300029643	4256606	172	45406	1.0	1.0	1.0	52.0	98.22	0.0	98.22	HQ	OTU-2910	d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Bilophila;s__Bilophila wadsworthia	Human	Digestive system	Human fecal	-0.12	51.5
3300029643_9	3300029643	2536693	106	121452	1.0	0.0	2.0	47.0	73.03	4.56	50.23	MQ	OTU-7932	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Clostridium_M;s__GCF_001517625.2	Human	Digestive system	Human fecal	-0.12	51.5
3300029643_8	3300029643	2600299	70	74399	1.0	1.0	1.0	47.0	97.32	0.17	96.47	HQ	OTU-2918	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Clostridium_AJ;s__	Human	Digestive system	Human fecal	-0.12	51.5
3300029747_19	3300029747	2626406	27	168013	0.0	1.0	1.0	47.0	97.99	0.0	97.99	MQ	OTU-16095	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__CAG-353;s__GCA_900066885.1	Human	Digestive system	Human fecal	-0.12	51.5
3300029747_29	3300029747	1678585	128	19873	0.0	0.0	0.0	26.0	68.62	1.34	61.92	MQ	OTU-6914	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerostipes;s__Anaerostipes hadrus	Human	Digestive system	Human fecal	-0.12	51.5
3300029747_10	3300029747	3092315	15	325931	1.0	1.0	1.0	49.0	98.11	0.0	98.11	HQ	OTU-8643	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Barnesiellaceae;g__Barnesiella;s__Barnesiella intestinihominis	Human	Digestive system	Human fecal	-0.12	51.5
3300029747_13	3300029747	2875959	30	143405	1.0	0.0	2.0	44.0	93.22	0.24	92.02	MQ	OTU-7875	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia;s__Roseburia hominis	Human	Digestive system	Human fecal	-0.12	51.5
3300029747_16	3300029747	2638293	59	73485	1.0	0.0	2.0	38.0	96.64	3.36	79.84	MQ	OTU-7970	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-127;s__CAG-127 sp2	Human	Digestive system	Human fecal	-0.12	51.5
3300029747_17	3300029747	2634164	28	180291	2.0	0.0	2.0	39.0	97.58	0.48	95.18	MQ	OTU-6831	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter rectalis	Human	Digestive system	Human fecal	-0.12	51.5
3300029747_32	3300029747	1493124	19	204070	0.0	2.0	0.0	46.0	75.32	0.63	72.17	MQ	OTU-3273	d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Veillonellales;f__Dialisteraceae;g__Dialister;s__Dialister invisus	Human	Digestive system	Human fecal	-0.12	51.5
