Genome	Count
MGYG000298490	589
MGYG000298494	98
MGYG000298496	176
MGYG000298503	218
MGYG000298504	20
MGYG000298505	37
MGYG000298506	150
MGYG000298508	157
MGYG000298512	1
MGYG000298513	161
MGYG000298514	37
MGYG000298523	328
MGYG000298524	313
MGYG000298526	58
MGYG000298530	346
MGYG000298531	1
MGYG000298534	138
MGYG000298536	114
MGYG000298538	142
MGYG000298541	10
MGYG000298542	7
MGYG000298543	30
MGYG000298545	525
MGYG000298547	320
MGYG000298551	206
MGYG000298555	83
MGYG000298556	80
MGYG000298558	47
MGYG000298559	22
MGYG000298562	53
MGYG000298563	303
MGYG000298568	237
MGYG000298570	135
MGYG000298571	45
MGYG000298573	113
MGYG000298576	232
MGYG000298582	87
MGYG000298584	212
MGYG000298591	263
MGYG000298594	306
MGYG000298596	12
MGYG000298605	258
MGYG000298608	60
MGYG000298617	141
MGYG000298619	208
MGYG000298621	331
MGYG000298624	263
MGYG000298626	44
MGYG000298627	53
MGYG000298628	159
MGYG000298629	28
MGYG000298636	30
MGYG000298642	112
MGYG000298645	120
MGYG000298646	190
MGYG000298651	8
MGYG000298654	289
MGYG000298659	63
MGYG000298661	49
MGYG000298665	34
MGYG000298667	39
MGYG000298669	196
MGYG000298670	32
MGYG000298673	249
MGYG000298675	302
MGYG000298676	137
MGYG000298678	287
MGYG000298685	16
MGYG000298689	35
MGYG000298690	64
MGYG000298692	141
MGYG000298697	17
MGYG000298702	89
MGYG000298714	135
MGYG000298716	2
MGYG000298725	170
MGYG000298726	295
MGYG000298727	722
MGYG000298728	269
MGYG000298732	17
MGYG000298733	150
MGYG000298742	77
MGYG000298745	124
MGYG000298749	126
MGYG000298750	206
MGYG000298751	73
MGYG000298754	238
MGYG000298757	14
MGYG000298759	105
MGYG000298760	3
MGYG000298769	41
MGYG000298770	9
MGYG000298773	369
MGYG000298777	128
MGYG000298779	42
MGYG000298785	145
MGYG000298787	143
MGYG000298788	236
MGYG000298793	310
MGYG000298796	188
MGYG000298799	66
MGYG000298803	104
MGYG000298806	5
MGYG000298808	41
MGYG000298811	222
MGYG000298817	74
MGYG000298823	30
MGYG000298824	557
MGYG000298826	85
MGYG000298830	58
MGYG000298831	197
MGYG000298832	282
MGYG000298837	15
MGYG000298840	295
MGYG000298842	18
MGYG000298843	123
MGYG000298849	127
MGYG000298851	85
MGYG000298852	22
MGYG000298857	29
MGYG000298858	344
MGYG000298860	195
MGYG000298861	158
MGYG000298864	93
MGYG000298866	750
MGYG000298874	74
MGYG000298875	282
MGYG000298886	6
MGYG000298888	12
MGYG000298892	60
MGYG000298893	81
MGYG000298895	68
MGYG000298896	305
MGYG000298899	268
MGYG000298902	41
MGYG000298905	24
MGYG000298915	1
MGYG000298917	55
MGYG000298918	1
MGYG000298919	346
MGYG000298923	2
MGYG000298927	353
MGYG000298929	110
MGYG000298932	51
MGYG000298933	1
MGYG000298937	40
MGYG000298942	188
MGYG000298943	402
MGYG000298944	88
MGYG000298945	35
MGYG000298947	21
MGYG000298948	181
MGYG000298952	4
MGYG000298953	139
MGYG000298956	292
MGYG000298960	228
MGYG000298961	123
MGYG000298963	192
MGYG000298964	255
MGYG000298965	39
MGYG000298966	137
MGYG000298969	76
MGYG000298972	37
MGYG000298974	111
MGYG000298976	56
MGYG000298979	2
MGYG000298985	326
MGYG000298991	183
MGYG000298993	63
MGYG000298999	57
MGYG000299001	442
MGYG000299003	87
MGYG000299004	157
MGYG000299008	245
MGYG000299010	31
MGYG000299015	39
MGYG000299017	161
MGYG000299022	113
MGYG000299023	257
MGYG000299025	104
MGYG000299027	134
MGYG000299028	2
MGYG000299031	67
MGYG000299033	207
MGYG000299041	358
MGYG000299042	171
MGYG000299043	2
MGYG000299050	14
MGYG000299052	95
MGYG000299054	382
MGYG000299057	99
MGYG000299062	36
MGYG000299064	226
MGYG000299067	120
MGYG000299068	65
MGYG000299070	1
MGYG000299073	248
MGYG000299075	25
MGYG000299076	30
MGYG000299079	162
MGYG000299080	92
MGYG000299081	30
MGYG000299083	153
MGYG000299089	120
MGYG000299092	84
MGYG000299094	4
MGYG000299101	118
MGYG000299103	81
MGYG000299105	44
MGYG000299109	277
MGYG000299111	343
MGYG000299114	4
MGYG000299120	100
MGYG000299126	8
MGYG000299128	39
MGYG000299129	92
MGYG000299134	35
MGYG000299136	120
MGYG000299137	311
MGYG000299138	45
MGYG000299145	93
MGYG000299147	312
MGYG000299148	374
MGYG000299153	4
MGYG000299160	32
MGYG000299164	8
MGYG000299167	55
MGYG000299168	203
MGYG000299173	90
MGYG000299174	43
MGYG000299175	21
MGYG000299177	188
MGYG000299179	39
MGYG000299188	9
MGYG000299190	137
MGYG000299192	1
MGYG000299193	305
MGYG000299199	92
MGYG000299200	28
MGYG000299201	165
MGYG000299202	71
MGYG000299205	19
MGYG000299207	101
MGYG000299211	182
MGYG000299212	292
MGYG000299215	57
MGYG000299216	34
MGYG000299223	354
MGYG000299227	274
MGYG000299231	332
MGYG000299235	53
MGYG000299236	203
MGYG000299237	220
MGYG000299240	16
MGYG000299246	61
MGYG000299249	1
MGYG000299251	345
MGYG000299252	240
MGYG000299253	232
MGYG000299256	192
MGYG000299258	1
MGYG000299259	46
MGYG000299265	48
MGYG000299270	137
MGYG000299272	99
MGYG000299273	63
